q4,q4h,q6,q6h,label
0.137683,0.082882,0.407868,0.434992, hcp
0.073829,0.039849,0.47492,0.386014, bcc
0.060442,0.04692,0.397644,0.432902, bcc
0.098842,0.081846,0.471776,0.429556, hcp
0.102402,0.081481,0.441335,0.435425, hcp
0.1181,0.097342,0.416697,0.429139, hcp
0.13844,0.088303,0.47015,0.435215, hcp
0.131275,0.05927,0.456659,0.437727, hcp
0.101711,0.08649,0.454989,0.400977, hcp
0.063936,0.049001,0.431707,0.394891, bcc
0.083909,0.040417,0.411869,0.412896, bcc
0.102592,0.041167,0.476074,0.416659, bcc
0.14589,0.089166,0.475854,0.42158, hcp
0.117366,0.096645,0.441866,0.397833, hcp
0.111897,0.03625,0.452815,0.422122, bcc
0.101622,0.076999,0.412992,0.425261, hcp
0.090342,0.027985,0.458723,0.405798, bcc
0.123696,0.028633,0.509893,0.419244, bcc
0.071477,0.08981,0.443775,0.419846, hcp
0.129407,0.037215,0.430936,0.423164, bcc
0.096827,0.02862,0.415693,0.448389, bcc
0.056011,0.026992,0.436695,0.413987, bcc
0.085319,0.02861,0.435689,0.403043, bcc
0.068221,0.008643,0.358753,0.415322, bcc
0.134111,0.081465,0.446495,0.415898, hcp
0.097852,0.023874,0.497062,0.401154, bcc
0.066526,0.009994,0.382423,0.376575, bcc
0.124495,0.031141,0.411433,0.38636, bcc
0.116306,0.076473,0.477295,0.418456, hcp
0.121292,0.098128,0.475013,0.417659, hcp
0.114164,0.083906,0.450949,0.427664, hcp
0.097115,0.048276,0.411205,0.413919, bcc
0.110025,0.099026,0.465463,0.409883, hcp
0.104731,0.073286,0.441116,0.398096, hcp
0.113992,0.029998,0.442597,0.414281, bcc
0.111556,0.032545,0.451006,0.422188, bcc
0.10463,0.074064,0.432164,0.396832, hcp
0.102964,0.026905,0.410611,0.39217, bcc
0.08653,0.074837,0.478205,0.405348, hcp
0.085769,0.085452,0.44678,0.441085, hcp
0.094635,0.091907,0.463932,0.438145, hcp
0.100669,0.075447,0.464751,0.404568, hcp
0.11834,0.089211,0.509984,0.388955, hcp
0.092122,0.02761,0.499808,0.430206, bcc
0.111262,0.081892,0.443521,0.439135, hcp
0.110782,0.098657,0.423208,0.427299, hcp
0.108217,0.033493,0.417914,0.434126, bcc
0.105168,0.095596,0.454004,0.424037, hcp
0.095607,0.094111,0.44009,0.451565, hcp
0.130842,0.082607,0.446225,0.406434, hcp
0.129151,0.085538,0.439381,0.420171, hcp
0.121121,0.04365,0.402702,0.392371, bcc
0.145966,0.028938,0.435968,0.407123, bcc
0.136131,0.098079,0.4519,0.442491, hcp
0.103802,0.062791,0.42234,0.41332, hcp
0.098094,0.078979,0.404354,0.43874, hcp
0.120748,0.080019,0.411898,0.410023, hcp
0.105958,0.02051,0.44603,0.424506, bcc
0.121661,0.073013,0.501714,0.421085, hcp
0.045269,0.034448,0.486994,0.417171, bcc
0.092636,0.037488,0.482124,0.392159, bcc
0.075224,0.051241,0.501658,0.386231, bcc
0.106943,0.093243,0.441579,0.426032, hcp
0.113422,0.083078,0.428771,0.418584, hcp
0.116545,0.079328,0.472464,0.413128, hcp
0.106184,0.076153,0.447018,0.411703, hcp
0.132726,0.075889,0.472605,0.384614, hcp
0.09948,0.089759,0.417953,0.430757, hcp
0.12712,0.095253,0.449581,0.420959, hcp
0.139989,0.081667,0.423843,0.436648, hcp
0.124834,0.084893,0.386203,0.40933, hcp
0.133367,0.090696,0.500577,0.42643, hcp
0.110828,0.08339,0.424232,0.426829, hcp
0.104473,0.088034,0.425823,0.43602, hcp
0.120464,0.078401,0.456575,0.438062, hcp
0.132852,0.060607,0.426884,0.410367, hcp
0.112119,0.082017,0.450876,0.439154, hcp
0.121399,0.077625,0.454288,0.404098, hcp
0.099187,0.025238,0.470211,0.388793, bcc
0.109766,0.069263,0.430947,0.472301, hcp
0.10819,0.09498,0.451394,0.413873, hcp
0.100163,0.031784,0.453591,0.368969, bcc
0.112356,0.085988,0.436631,0.418531, hcp
0.07394,0.041834,0.435886,0.381426, bcc
0.123804,0.088897,0.460691,0.436733, hcp
0.069026,0.085694,0.433341,0.430533, hcp
0.105946,0.036146,0.476696,0.429975, bcc
0.063453,0.033061,0.4594,0.403645, bcc
0.115441,0.083903,0.430468,0.435763, hcp
0.082357,0.029893,0.441366,0.414327, bcc
0.103834,0.093919,0.494628,0.449347, hcp
0.100884,0.038746,0.470155,0.415135, bcc
0.12829,0.083299,0.484837,0.410333, hcp
0.152944,0.087797,0.411791,0.428674, hcp
0.138095,0.085229,0.448096,0.407455, hcp
0.10477,0.041875,0.425094,0.403474, bcc
0.132893,0.073826,0.495523,0.410492, hcp
0.058033,0.015617,0.424629,0.430156, bcc
0.146952,0.078964,0.462135,0.421867, hcp
0.116276,0.084074,0.374297,0.444945, hcp
0.095001,0.0425,0.430513,0.430865, bcc
0.11796,0.098813,0.42638,0.429699, hcp
0.065566,0.045674,0.440667,0.431277, bcc
0.137175,0.08594,0.436712,0.43282, hcp
0.073107,0.02879,0.453289,0.392712, bcc
0.092677,0.028077,0.438726,0.414526, bcc
0.089316,0.103111,0.483721,0.415773, hcp
0.09092,0.088889,0.440669,0.419983, hcp
0.075515,0.028958,0.514811,0.417054, bcc
0.107491,0.035699,0.503498,0.38923, bcc
0.115172,0.085172,0.46157,0.39365, hcp
0.124544,0.079404,0.469149,0.44048, hcp
0.10826,0.043145,0.434857,0.36882, bcc
0.089524,0.098085,0.510866,0.431159, hcp
0.129602,0.041322,0.388519,0.389329, bcc
0.097823,0.068108,0.448579,0.417948, hcp
0.107901,0.046971,0.420458,0.396809, bcc
0.081069,0.042017,0.39758,0.415896, bcc
0.131478,0.025165,0.407937,0.393243, bcc
0.095697,0.102897,0.463262,0.43555, hcp
0.085111,0.048574,0.496045,0.432053, bcc
0.070079,0.081051,0.424835,0.429336, hcp
0.041598,0.040886,0.440709,0.414026, bcc
0.043464,0.018573,0.443391,0.438508, bcc
0.061491,0.030307,0.446631,0.433595, bcc
0.114758,0.092471,0.450836,0.406604, hcp
0.118101,0.102607,0.429539,0.429193, hcp
0.102868,0.087687,0.429507,0.404227, hcp
0.023893,0.037729,0.423906,0.358541, bcc
0.115384,0.04765,0.457185,0.459331, bcc
0.09411,0.031803,0.37459,0.35278, bcc
0.069749,0.003232,0.484795,0.414921, bcc
0.069462,0.069347,0.431943,0.414038, hcp
0.053608,0.046126,0.466705,0.425254, bcc
0.100649,0.071986,0.433891,0.443909, hcp
0.107457,0.039428,0.442424,0.382377, bcc
0.086093,0.078468,0.4698,0.44853, hcp
0.033123,0.027256,0.487444,0.386075, bcc
0.12676,0.074458,0.417628,0.420383, hcp
0.092364,0.087838,0.419143,0.3979, hcp
0.046102,0.049074,0.44161,0.394643, bcc
0.096704,0.080239,0.446142,0.437872, hcp
0.083919,0.034661,0.407659,0.402492, bcc
0.107543,0.037859,0.415617,0.445126, bcc
0.096994,0.050321,0.425206,0.407881, bcc
0.084538,0.05095,0.4871,0.407536, bcc
0.065882,0.023071,0.439418,0.450376, bcc
0.098854,0.096842,0.428882,0.449268, hcp
0.101221,0.070925,0.473842,0.422157, hcp
0.056899,0.039667,0.484921,0.399463, bcc
0.091704,0.07569,0.482549,0.394218, hcp
0.086825,0.030158,0.448104,0.416746, bcc
0.087691,0.025759,0.393807,0.401026, bcc
0.122676,0.093527,0.485184,0.420286, hcp
0.100623,0.079257,0.404217,0.434236, hcp
0.117494,0.053306,0.485644,0.416329, hcp
0.076027,0.029487,0.418845,0.425323, bcc
0.078828,0.047877,0.454884,0.419363, bcc
0.119201,0.072315,0.456085,0.409817, hcp
0.077619,0.070098,0.442763,0.409049, hcp
0.108975,0.082976,0.438805,0.400253, hcp
0.126754,0.080387,0.449403,0.400179, hcp
0.09403,0.085197,0.466924,0.414988, hcp
0.125981,0.000705,0.451633,0.38196, bcc
0.080585,0.046013,0.416212,0.448231, bcc
0.092227,0.042704,0.498549,0.416225, bcc
0.087736,0.038928,0.457621,0.408724, bcc
0.106244,0.07576,0.472572,0.395832, hcp
0.05299,0.03567,0.437837,0.390366, bcc
0.063807,0.012558,0.501669,0.429426, bcc
0.093823,0.045394,0.445791,0.426273, bcc
0.106459,0.082322,0.447654,0.41055, hcp
0.09071,0.032469,0.443685,0.383773, bcc
0.121725,0.036182,0.415049,0.419619, bcc
0.084982,0.076959,0.457725,0.408809, hcp
0.102228,0.079322,0.468608,0.397019, hcp
0.085614,0.029377,0.400148,0.415424, bcc
0.051374,0.045711,0.381866,0.357374, bcc
0.076778,0.030918,0.463544,0.440775, bcc
0.101798,0.032004,0.394652,0.365898, bcc
0.096493,0.086603,0.487286,0.430533, hcp
0.110583,0.070299,0.494788,0.436434, hcp
0.057108,0.032773,0.434823,0.400482, bcc
0.087484,0.07605,0.457706,0.413181, hcp
0.088203,0.073082,0.446749,0.41393, hcp
0.11107,0.043058,0.480819,0.398733, bcc
0.077227,0.095528,0.484966,0.422058, hcp
0.093105,0.080415,0.382921,0.42553, hcp
0.140079,0.091045,0.443651,0.407093, hcp
0.062195,0.041368,0.447374,0.449561, bcc
0.102542,0.088029,0.451162,0.418568, hcp
0.117422,0.095999,0.462839,0.40562, hcp
0.068628,0.030253,0.41676,0.42562, bcc
0.152301,0.065284,0.446027,0.402505, hcp
0.07871,0.078973,0.420323,0.409075, hcp
0.101433,0.089106,0.461462,0.412035, hcp
0.062317,0.023704,0.429556,0.416348, bcc
0.091064,0.029173,0.54708,0.447124, bcc
0.103321,0.017315,0.419291,0.388795, bcc
0.082259,0.085695,0.443786,0.400447, hcp
0.126499,0.082582,0.439534,0.417087, hcp
0.079033,0.086349,0.446057,0.445469, hcp
0.111009,0.087232,0.440395,0.422565, hcp
0.136202,0.095561,0.473347,0.410333, hcp
0.082279,0.009981,0.440872,0.407853, bcc
0.095377,0.029185,0.435411,0.396301, bcc
0.076263,0.036718,0.389217,0.39774, bcc
0.076963,0.024438,0.434396,0.412262, bcc
0.082291,0.078137,0.450718,0.430971, hcp
0.092423,0.032854,0.353189,0.403306, bcc
0.105511,0.071874,0.429276,0.418273, hcp
0.059693,0.046566,0.514198,0.396272, bcc
0.11426,0.035568,0.42069,0.412339, bcc
0.123219,0.056183,0.427283,0.370945, bcc
0.095572,0.029583,0.421547,0.375377, bcc
0.080561,0.029941,0.435279,0.383492, bcc
0.055874,0.044793,0.415927,0.36298, bcc
0.094094,0.083402,0.439574,0.413548, hcp
0.119031,0.080363,0.479542,0.429029, hcp
0.111171,0.025782,0.402479,0.367208, bcc
0.105518,0.103988,0.466875,0.409569, hcp
0.079236,0.030892,0.438738,0.397112, bcc
0.127774,0.090655,0.460271,0.425629, hcp
0.076904,0.040725,0.452177,0.425125, bcc
0.076283,0.020944,0.407002,0.46194, bcc
0.120242,0.024353,0.462498,0.388179, bcc
0.10422,0.08539,0.449234,0.432024, hcp
0.095394,0.09496,0.439458,0.40547, hcp
0.144549,0.103587,0.467125,0.404649, hcp
0.090949,0.085801,0.450691,0.432506, hcp
0.11375,0.079843,0.464862,0.452907, hcp
0.086933,0.020639,0.454019,0.397583, bcc
0.079308,0.033336,0.463906,0.389481, bcc
0.112727,0.084241,0.426452,0.425981, hcp
0.142972,0.065229,0.439807,0.429225, hcp
0.071389,0.045621,0.503043,0.412776, bcc
0.097114,0.097204,0.454882,0.433474, hcp
0.111808,0.063762,0.421429,0.442371, hcp
0.101279,0.084879,0.436323,0.440452, hcp
0.131159,0.093412,0.436304,0.427565, hcp
